predictor,mean,std,var,skewness
MolWeight,199.7744,96.0419,9224.056,0.9604
NumAtoms,25.2818,12.4384,154.7144,1.3432
NumNonHAtoms,13.0474,6.3795,40.6976,0.9704
NumBonds,25.6827,13.2891,176.5991,1.3388
NumNonHBonds,13.4483,7.4327,55.2444,0.9495
NumMultBonds,6.1894,5.1505,26.5281,0.6943
NumRotBonds,2.176,2.4006,5.7628,1.7269
NumDblBonds,0.9771,1.2024,1.4458,1.4148
NumAromaticBonds,5.1902,5.2597,27.6644,0.8069
NumHydrogen,12.2344,7.2653,52.7847,1.2481
NumCarbon,9.8658,5.2404,27.4622,0.9168
NumNitrogen,0.7869,1.1712,1.3716,1.5782
NumOxygen,1.528,1.6797,2.8213,1.7494
NumSulfer,0.1484,0.4602,0.2118,3.982
NumChlorine,0.5564,1.4004,1.9611,3.1465
NumHalogen,0.7009,1.4759,2.1782,2.6474
NumRings,1.4009,1.2813,1.6416,1.0255
HydrophilicFactor,-0.0409,1.0923,1.1932,3.2198
SurfaceArea1,35.5372,34.4097,1184.0293,1.7359
SurfaceArea2,38.939,37.0476,1372.5235,1.5093
