predictor,mean,std,var,skewness
MolWeight,199.77,96.04,9224.06,0.96
NumAtoms,25.28,12.44,154.71,1.34
NumNonHAtoms,13.05,6.38,40.7,0.97
NumBonds,25.68,13.29,176.6,1.34
NumNonHBonds,13.45,7.43,55.24,0.95
NumMultBonds,6.19,5.15,26.53,0.69
NumRotBonds,2.18,2.4,5.76,1.73
NumDblBonds,0.98,1.2,1.45,1.41
NumAromaticBonds,5.19,5.26,27.66,0.81
NumHydrogen,12.23,7.27,52.78,1.25
NumCarbon,9.87,5.24,27.46,0.92
NumNitrogen,0.79,1.17,1.37,1.58
NumOxygen,1.53,1.68,2.82,1.75
NumSulfer,0.15,0.46,0.21,3.98
NumChlorine,0.56,1.4,1.96,3.15
NumHalogen,0.7,1.48,2.18,2.65
NumRings,1.4,1.28,1.64,1.03
HydrophilicFactor,-0.04,1.09,1.19,3.22
SurfaceArea1,35.54,34.41,1184.03,1.74
SurfaceArea2,38.94,37.05,1372.52,1.51
