predictor,mean,std,var,skewness
MolWeight,5.09,0.45,0.21,0.0
NumAtoms,3.45,0.54,0.29,0.0
NumNonHAtoms,2.74,0.52,0.27,-0.0
NumBonds,3.87,0.71,0.5,0.01
NumNonHBonds,3.18,0.79,0.63,-0.01
NumMultBonds,2.5,1.63,2.66,-0.14
NumRotBonds,0.83,0.64,0.41,0.03
NumDblBonds,0.38,0.37,0.14,0.18
NumAromaticBonds,1.58,1.38,1.89,-0.1
NumHydrogen,3.85,1.27,1.61,0.03
NumCarbon,3.14,0.89,0.79,-0.0
NumNitrogen,0.21,0.26,0.07,0.48
NumOxygen,0.66,0.54,0.29,0.04
NumSulfer,0.01,0.03,0.0,2.39
NumChlorine,0.05,0.11,0.01,1.45
NumHalogen,0.1,0.16,0.03,1.03
NumRings,0.74,0.53,0.29,-0.0
HydrophilicFactor,-0.5,1.06,1.13,-0.02
SurfaceArea1,5.97,3.94,15.49,-0.23
SurfaceArea2,6.39,4.16,17.3,-0.24
