class,predictor,mean,std,var,skewness
1,RI,1.5187182857142854,0.0022680969303140977,5.144263685300233e-06,0.7766987089146866
1,Na,13.242285714285714,0.4993014582091387,0.24930194616977228,0.7872406974015914
1,Mg,3.552428571428572,0.24704300930648687,0.061030248447204956,-0.7067261532438209
1,Al,1.1638571428571431,0.27315808905267086,0.07461534161490685,-1.1279161478511461
1,Si,72.61914285714286,0.5694842387078387,0.32431229813664664,-0.57884025382041
1,K,0.4474285714285715,0.2148790405562938,0.04617300207039336,-0.9396603051757361
1,Ca,8.797285714285715,0.5748066377552136,0.33040267080745334,0.7168052613252205
1,Ba,0.012714285714285713,0.08383768701470215,0.0070287577639751575,7.897222319822587
1,Fe,0.05699999999999999,0.08907495622276193,0.007934347826086955,1.3619303177945088
2,RI,1.518618552631579,0.0038021263187668717,1.4456164543859722e-05,2.141421699063231
2,Na,13.11171052631579,0.6641593948401137,0.441107701754386,-1.0922876126115424
2,Mg,3.0021052631578944,1.2156614833518677,1.4778328421052633,-1.8458122149920912
2,Al,1.408157894736842,0.31834032324465084,0.10134056140350878,-0.3866538384837174
2,Si,72.59802631578948,0.7245725539688296,0.5250053859649125,-1.4319292002659303
2,K,0.5210526315789473,0.2137261733924567,0.04567887719298246,-1.0094896252442165
2,Ca,9.073684210526315,1.9216353050498516,3.692682245614036,2.166415698360673
2,Ba,0.05026315789473684,0.3623404428037645,0.13129059649122812,8.574016580814634
2,Fe,0.07973684210526315,0.10643274789537947,0.011327929824561402,0.9876157688172554
3,RI,1.5179635294117646,0.0019163602909437257,3.672436764705921e-06,1.1689989582148876
3,Na,13.437058823529412,0.5068871263146554,0.2569345588235294,-0.556257269218905
3,Mg,3.5435294117647054,0.16278594750740108,0.026499264705882344,0.7250968181316189
3,Al,1.2011764705882353,0.34748889106238307,0.12074852941176471,-0.4004407988495179
3,Si,72.40470588235293,0.5122757759139458,0.2624264705882352,-0.8325589487233248
3,K,0.40647058823529414,0.22988967942446298,0.05284926470588235,-0.7679229994834098
3,Ca,8.782941176470588,0.3801112453263248,0.14448455882352948,0.9457075476701563
3,Ba,0.008823529411764706,0.03638034375544994,0.0013235294117647056,4.1231056256176615
3,Fe,0.057058823529411766,0.10786361213833612,0.011634558823529411,2.0373769033252924
5,RI,1.5189276923076926,0.0033453553718704723,1.1191402564102626e-05,-0.7288075321591202
5,Na,12.827692307692306,0.7770366126740088,0.6037858974358975,-1.1969306831159503
5,Mg,0.7738461538461539,0.9991457890079445,0.9982923076923078,0.7503431455993759
5,Al,2.033846153846154,0.6939204860973921,0.481525641025641,1.2780844836176322
5,Si,72.36615384615385,1.2823191130495963,1.6443423076923036,-0.8244151480371196
5,K,1.47,2.1386950850148474,4.574016666666666,2.0381927466108034
5,Ca,10.123846153846152,2.1837908113398377,4.768942307692307,-1.0112256398056418
5,Ba,0.1876923076923077,0.6082509603520827,0.3699692307692309,3.5344189258280516
5,Fe,0.06076923076923077,0.1555882139099627,0.02420769230769231,2.5815089539262974
6,RI,1.5174555555555556,0.0031157828515122506,9.70810277777781e-06,-1.6359352600343644
6,Na,14.646666666666667,1.0840202950129667,1.1750999999999994,2.4280918321870306
6,Mg,1.3055555555555556,1.0971338923658214,1.2037027777777778,-0.31746859245379677
6,Al,1.3666666666666667,0.5718609970963222,0.3270249999999999,-0.9695052279540851
6,Si,73.20666666666666,1.0794674612974664,1.1652499999999972,1.4427933107015987
6,K,0.0,0.0,0.0,0.0
6,Ca,9.356666666666667,1.4499482749394892,2.1023500000000004,-0.7934961833888655
6,Ba,0.0,0.0,0.0,0.0
6,Fe,0.0,0.0,0.0,0.0
7,RI,1.5171162068965516,0.0025450686403781903,6.47737438423649e-06,1.0863175800981668
7,Na,14.442068965517244,0.686358815522406,0.47108842364532016,-1.6100287907792294
7,Mg,0.5382758620689655,1.117682771776108,1.2492147783251233,1.8155751870347598
7,Al,2.1227586206896554,0.44272610487849784,0.19600640394088667,-0.32576213136202786
7,Si,72.9658620689655,0.9402336990700737,0.884039408866994,-1.3477496594323504
7,K,0.32517241379310347,0.6684930851744905,0.4468830049261085,2.38006266500883
7,Ca,8.491379310344827,0.9735051696169548,0.9477123152709359,-2.153158731242807
7,Ba,1.0399999999999998,0.6653409437488207,0.4426785714285714,0.5012442318241752
7,Fe,0.013448275862068966,0.029794038481952046,0.0008876847290640394,1.9807958657850895
